Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2019-02-28,0.416327,0.383673,0.2,1.0,0.37167525,0.216327,0.38220319842233,0.48361273252018,0.28079366432449,2795.76,2764.55,2792.38
2019-02-21,0.393189,0.352941,0.25387,1.0,0.360908,0.139319,0.38220319842233,0.48361273252018,0.28079366432449,2787.33,2703.79,2779.76
2019-02-14,0.351032,0.39823,0.250737,0.999999,0.351193875,0.100295,0.38220319842233,0.48361273252018,0.28079366432449,2761.85,2681.83,2753.03
2019-02-07,0.398734,0.373418,0.227848,1.0,0.338396,0.170886,0.38220319842233,0.48361273252018,0.28079366432449,2738.98,2648.34,2731.61
2019-01-31,0.317568,0.364865,0.317568,1.000001,0.31468425,0.0,0.38220319842233,0.48361273252018,0.28079366432449,2690.44,2612.86,2681.05
2019-01-24,0.37659,0.300254,0.323155,0.999999,0.322417375,0.053435,0.38220319842233,0.48361273252018,0.28079366432449,2675.47,2585.1,2638.7
2019-01-17,0.335347,0.302115,0.362538,1.0,0.317695625,-0.027191,0.38220319842233,0.48361273252018,0.28079366432449,2625.76,2562.02,2616.1
2019-01-10,0.384615,0.321678,0.293706,0.999999,0.307342875,0.090909,0.38220319842233,0.48361273252018,0.28079366432449,2595.32,2443.96,2584.96
2019-01-03,0.330189,0.242138,0.427673,1.0,0.303125625,-0.097484,0.38220319842233,0.48361273252018,0.28079366432449,2520.27,2346.58,2510.03
2018-12-27,0.315476,0.181548,0.502976,1.0,0.3134575,-0.1875,0.38220319842233,0.48361273252018,0.28079366432449,2585.29,2346.58,2467.7
2018-12-20,0.248649,0.278378,0.472973,1.0,0.32143675,-0.224324,0.38220319842233,0.48361273252018,0.28079366432449,2685.44,2488.96,2506.96
2018-12-13,0.20904,0.30226,0.488701,1.000001,0.32531725,-0.279661,0.38220319842233,0.48361273252018,0.28079366432449,2785.93,2583.23,2651.07
2018-12-06,0.379433,0.315603,0.304965,1.000001,0.341606,0.074468,0.38220319842233,0.48361273252018,0.28079366432449,2800.18,2655.89,2700.06
2018-11-29,0.338816,0.266447,0.394737,1.0,0.3324345,-0.055921,0.38220319842233,0.48361273252018,0.28079366432449,2744.0,2631.09,2743.79
2018-11-22,0.252525,0.276094,0.47138,0.999999,0.347160125,-0.218855,0.38220319842233,0.48361273252018,0.28079366432449,2746.8,2631.52,2649.93
2018-11-15,0.350877,0.289474,0.359649,1.0,0.360870125,-0.008772,0.38220319842233,0.48361273252018,0.28079366432449,2815.15,2685.75,2701.58
2018-11-08,0.412844,0.275229,0.311927,1.0,0.357063375,0.100917,0.38220319842233,0.48361273252018,0.28079366432449,2815.15,2700.44,2813.89
